model_key,display_name,branch_type,feature_strategy,fusion_strategy,pretraining,input_shape,total_params,trainable_params,flops,flops_backend,metrics_path
baseline_s,Baseline-S,single_rgb,ResNet18 + GAP,/,ImageNet,"[1, 3, 224, 224]",11178051,11178051,1823523328,thop,/root/autodl-tmp/ResNet_4channel-rgb-complete-mhi-complete-2/casme_rgb_train/rgb_result/result9/final_metrics.txt
baseline_d,Baseline-D,single_dynamic,ResNet18 + GAP,/,ImageNet,"[1, 3, 224, 224]",11178051,11178051,1823523328,thop,/root/autodl-tmp/ResNet_4channel-rgb-complete-mhi-complete-2/casme_dynamic_train/result1/final_metrics.txt
model_a,Model A,dual,RGB ResNet18(GAP) + Dynamic ResNet18(GAP),Direct Concat,ImageNet,"[1, 3, 224, 224]",22356099,22356099,3647046656,thop,/root/autodl-tmp/ResNet_4channel-rgb-complete-mhi-complete-2/casme2_fusion_train2_3class/fusion_result/final_metrics.txt
model_b,Model B,dual,RGB ResNet18(SPP) + Dynamic ResNet18(SPP),Direct Concat,ImageNet,"[1, 3, 224, 224]",33367171,33367171,3658005504,thop,/root/autodl-tmp/ResNet_4channel-rgb-complete-mhi-complete-2/casme2_fusion_train2_3class/fusion_result2_spp/final_metrics.txt
model_c,Model C,dual,RGB Grid+CBAM + Dynamic SPP,Direct Concat,ImageNet,"[1, 3, 224, 224]",28943589,28943589,3653672130,thop,/root/autodl-tmp/ResNet_4channel-rgb-complete-mhi-complete-2/casme2_fusion_train2_3class copy/fusion_result_asym_grid_cbam/final_metrics.txt
adf_net,ADF-Net,dual,RGB Grid+CBAM + Dynamic SPP,SE Fusion,ImageNet,"[1, 3, 224, 224]",29074661,29074661,3653803202,thop,/root/autodl-tmp/ResNet_4channel-rgb-complete-mhi-complete-2/casme2_fusion_train2_3class copy/fusion_result_asym_se-1/final_metrics.txt
