Run 3 with Seed 44

--- Fold 1/16: Leaving out subject 1 ---
  Epoch 1/60 | Train Loss: 0.8041, Val Loss: 0.6947 | Train Acc: 0.3481, Val Acc: 0.0000, Val UAR: 0.0000
  Epoch 2/60 | Train Loss: 0.6735, Val Loss: 0.7984 | Train Acc: 0.4810, Val Acc: 0.5000, Val UAR: 0.3333
  Epoch 3/60 | Train Loss: 0.7001, Val Loss: 0.9432 | Train Acc: 0.4620, Val Acc: 0.5000, Val UAR: 0.3333
  Epoch 4/60 | Train Loss: 0.7513, Val Loss: 0.6396 | Train Acc: 0.4177, Val Acc: 0.5000, Val UAR: 0.3889
  Epoch 5/60 | Train Loss: 0.6743, Val Loss: 2.4149 | Train Acc: 0.4494, Val Acc: 0.1667, Val UAR: 0.3333
  Epoch 6/60 | Train Loss: 0.6325, Val Loss: 0.8504 | Train Acc: 0.4810, Val Acc: 0.5000, Val UAR: 0.3333
  Epoch 7/60 | Train Loss: 0.6279, Val Loss: 1.2841 | Train Acc: 0.4367, Val Acc: 0.1667, Val UAR: 0.3333
  Epoch 8/60 | Train Loss: 0.7441, Val Loss: 0.6634 | Train Acc: 0.4114, Val Acc: 0.5000, Val UAR: 0.3333
  Epoch 9/60 | Train Loss: 0.6769, Val Loss: 11.5748 | Train Acc: 0.4177, Val Acc: 0.3333, Val UAR: 0.3333
  Epoch 10/60 | Train Loss: 0.6460, Val Loss: 0.7411 | Train Acc: 0.4304, Val Acc: 0.1667, Val UAR: 0.1111
  Epoch 11/60 | Train Loss: 0.6988, Val Loss: 2.3503 | Train Acc: 0.3608, Val Acc: 0.5000, Val UAR: 0.3333
  Epoch 12/60 | Train Loss: 0.6654, Val Loss: 0.6153 | Train Acc: 0.4051, Val Acc: 0.5000, Val UAR: 0.3333
  Epoch 13/60 | Train Loss: 0.7350, Val Loss: 0.7656 | Train Acc: 0.4051, Val Acc: 0.3333, Val UAR: 0.4444
  Epoch 14/60 | Train Loss: 0.6903, Val Loss: 0.6812 | Train Acc: 0.3861, Val Acc: 0.3333, Val UAR: 0.4444
  Epoch 15/60 | Train Loss: 0.6221, Val Loss: 0.7853 | Train Acc: 0.4747, Val Acc: 0.1667, Val UAR: 0.3333
