
--- Fold 1/10: Test Subject 1 ---
Train samples: 163, Val samples: 20
Epoch 21/40 | Train Loss 0.0317 Acc 0.9756 | Val Loss 0.0644 Acc 0.9474
Epoch 22/40 | Train Loss 0.0193 Acc 0.9939 | Val Loss 0.0010 Acc 1.0000
Epoch 23/40 | Train Loss 0.0226 Acc 0.9939 | Val Loss 0.0064 Acc 1.0000
Epoch 24/40 | Train Loss 0.0135 Acc 0.9939 | Val Loss 0.0019 Acc 1.0000
Epoch 25/40 | Train Loss 0.0337 Acc 0.9878 | Val Loss 0.0062 Acc 1.0000
Epoch 26/40 | Train Loss 0.0460 Acc 0.9756 | Val Loss 0.0001 Acc 1.0000
Epoch 27/40 | Train Loss 0.0265 Acc 0.9939 | Val Loss 0.0002 Acc 1.0000
Epoch 28/40 | Train Loss 0.0241 Acc 0.9878 | Val Loss 0.0001 Acc 1.0000
Epoch 29/40 | Train Loss 0.0053 Acc 1.0000 | Val Loss 0.0003 Acc 1.0000
Epoch 30/40 | Train Loss 0.0063 Acc 1.0000 | Val Loss 0.0001 Acc 1.0000
Epoch 31/40 | Train Loss 0.0042 Acc 1.0000 | Val Loss 0.0001 Acc 1.0000
Epoch 32/40 | Train Loss 0.0024 Acc 1.0000 | Val Loss 0.0002 Acc 1.0000
Epoch 33/40 | Train Loss 0.0033 Acc 1.0000 | Val Loss 0.0004 Acc 1.0000
Epoch 34/40 | Train Loss 0.0014 Acc 1.0000 | Val Loss 0.0002 Acc 1.0000
Epoch 35/40 | Train Loss 0.0005 Acc 1.0000 | Val Loss 0.0002 Acc 1.0000
Epoch 36/40 | Train Loss 0.0052 Acc 1.0000 | Val Loss 0.0002 Acc 1.0000
Epoch 37/40 | Train Loss 0.0010 Acc 1.0000 | Val Loss 0.0003 Acc 1.0000
Epoch 38/40 | Train Loss 0.0017 Acc 1.0000 | Val Loss 0.0001 Acc 1.0000
Epoch 39/40 | Train Loss 0.0013 Acc 1.0000 | Val Loss 0.0001 Acc 1.0000
Epoch 40/40 | Train Loss 0.0011 Acc 1.0000 | Val Loss 0.0001 Acc 1.0000
Fold 2 best Val Acc: 1.0000

--- Fold 3/10: Test Subject 3 ---
Train samples: 164, Val samples: 19
Epoch 1/40 | Train Loss 0.8132 Acc 0.6280 | Val Loss 0.4343 Acc 0.7895
Epoch 2/40 | Train Loss 0.3271 Acc 0.8780 | Val Loss 0.1415 Acc 0.9474
Epoch 3/40 | Train Loss 0.2927 Acc 0.9268 | Val Loss 0.0455 Acc 1.0000
Epoch 4/40 | Train Loss 0.2514 Acc 0.9329 | Val Loss 0.0182 Acc 1.0000
Epoch 5/40 | Train Loss 0.3626 Acc 0.8720 | Val Loss 8.8999 Acc 0.1579
Epoch 6/40 | Train Loss 0.3322 Acc 0.8720 | Val Loss 0.1285 Acc 0.9474
Epoch 7/40 | Train Loss 0.0969 Acc 0.9634 | Val Loss 1.6366 Acc 0.6842
Epoch 8/40 | Train Loss 0.1525 Acc 0.9329 | Val Loss 0.4023 Acc 0.8947
Epoch 9/40 | Train Loss 0.3028 Acc 0.9390 | Val Loss 2.1482 Acc 0.5263
Epoch 10/40 | Train Loss 0.4496 Acc 0.8659 | Val Loss 7.1355 Acc 0.1579
Epoch 11/40 | Train Loss 0.1628 Acc 0.9390 | Val Loss 0.0012 Acc 1.0000
Epoch 12/40 | Train Loss 0.1760 Acc 0.9390 | Val Loss 4.3781 Acc 0.3158
Epoch 13/40 | Train Loss 0.0756 Acc 0.9634 | Val Loss 0.0369 Acc 1.0000
Epoch 14/40 | Train Loss 0.1078 Acc 0.9573 | Val Loss 1.7669 Acc 0.7895
Epoch 15/40 | Train Loss 0.1128 Acc 0.9695 | Val Loss 0.0467 Acc 1.0000
Epoch 16/40 | Train Loss 0.1301 Acc 0.9695 | Val Loss 0.0844 Acc 0.9474
Epoch 17/40 | Train Loss 0.0731 Acc 0.9573 | Val Loss 0.1232 Acc 0.9474
Epoch 18/40 | Train Loss 0.0658 Acc 0.9756 | Val Loss 0.2163 Acc 0.9474
Epoch 19/40 | Train Loss 0.1326 Acc 0.9634 | Val Loss 0.0020 Acc 1.0000
Epoch 20/40 | Train Loss 0.0397 Acc 0.9817 | Val Loss 0.0993 Acc 0.9474
Epoch 21/40 | Train Loss 0.0440 Acc 0.9817 | Val Loss 0.0002 Acc 1.0000
Epoch 22/40 | Train Loss 0.0460 Acc 0.9817 | Val Loss 0.6261 Acc 0.7895
Epoch 23/40 | Train Loss 0.0165 Acc 0.9939 | Val Loss 0.0151 Acc 1.0000
Epoch 24/40 | Train Loss 0.0212 Acc 0.9878 | Val Loss 0.0151 Acc 1.0000
Epoch 25/40 | Train Loss 0.0062 Acc 1.0000 | Val Loss 0.2172 Acc 0.8947
Epoch 26/40 | Train Loss 0.0129 Acc 0.9939 | Val Loss 0.0001 Acc 1.0000
Epoch 27/40 | Train Loss 0.0127 Acc 0.9939 | Val Loss 0.0001 Acc 1.0000
Epoch 28/40 | Train Loss 0.0011 Acc 1.0000 | Val Loss 0.0001 Acc 1.0000
Epoch 29/40 | Train Loss 0.0173 Acc 0.9878 | Val Loss 0.0048 Acc 1.0000
Epoch 30/40 | Train Loss 0.0096 Acc 1.0000 | Val Loss 0.0004 Acc 1.0000
Epoch 31/40 | Train Loss 0.0061 Acc 1.0000 | Val Loss 0.0057 Acc 1.0000
Epoch 32/40 | Train Loss 0.0015 Acc 1.0000 | Val Loss 0.0049 Acc 1.0000
Epoch 33/40 | Train Loss 0.0032 Acc 1.0000 | Val Loss 0.0119 Acc 1.0000
Epoch 34/40 | Train Loss 0.0007 Acc 1.0000 | Val Loss 0.0130 Acc 1.0000
Epoch 35/40 | Train Loss 0.0038 Acc 1.0000 | Val Loss 0.0179 Acc 1.0000
Epoch 36/40 | Train Loss 0.0179 Acc 0.9939 | Val Loss 0.0611 Acc 0.9474
Epoch 37/40 | Train Loss 0.0009 Acc 1.0000 | Val Loss 0.0459 Acc 0.9474
Epoch 38/40 | Train Loss 0.0004 Acc 1.0000 | Val Loss 0.0892 Acc 0.9474
Epoch 39/40 | Train Loss 0.0093 Acc 0.9939 | Val Loss 0.0448 Acc 0.9474
Epoch 40/40 | Train Loss 0.0004 Acc 1.0000 | Val Loss 0.0766 Acc 0.9474
Fold 3 best Val Acc: 1.0000

--- Fold 4/10: Test Subject 4 ---
Train samples: 166, Val samples: 17
Epoch 1/40 | Train Loss 0.9732 Acc 0.5542 | Val Loss 0.7281 Acc 0.7059
Epoch 2/40 | Train Loss 0.3643 Acc 0.8494 | Val Loss 1.7149 Acc 0.8235
Epoch 3/40 | Train Loss 0.1803 Acc 0.9337 | Val Loss 1.7303 Acc 0.8235
Epoch 4/40 | Train Loss 0.4134 Acc 0.8675 | Val Loss 4.1439 Acc 0.3529
Epoch 5/40 | Train Loss 0.2002 Acc 0.9398 | Val Loss 0.0981 Acc 0.9412
Epoch 6/40 | Train Loss 0.3812 Acc 0.8675 | Val Loss 27.8915 Acc 0.1765
Epoch 7/40 | Train Loss 0.3766 Acc 0.8614 | Val Loss 1.1584 Acc 0.5294
Epoch 8/40 | Train Loss 0.1979 Acc 0.9217 | Val Loss 0.3807 Acc 0.8235
